Platnum;Platval;Actnum;Actval;Stypenum;Stypeval
32;Transport Helicopter;32;Forward Air Controller (FAC);47;F-8 FISHBED
33;Tactical Support;33;Very Important Person (VIP) Flight;48;F-9 FANTAN
34;Patrol;34;Noncombatant Operations;49;F-12 (CHINA)
35;Miscellaneous Fixed Wing;35;Close Air Support (CAS);50;SU-7 FITTER
36;Missile Control Unit;36;Airborne Early Warning (AEW);51;SU-9 FISHPOT
37;Surface-to-Air Missile (SAM);37;Ground Attack Tactics (GAT);52;SU-11 FISHPOT
38;Air-to-Surface Missile (ASM);38;Airborne Command Post (ACP);53;SU-15 FLAGON
39;Surface-to-Surface Missile (SSM);39;Rescue Combat Air Patrol (RESCAP);54;SU-17 FITTER
40;Logistic;40;Surface Combat Air Patrol (SUCAP);55;SU-19 FENCER
41;Air-to-Air Missile (AAM);42;Spotting;56;SU-20 FITTER
42;Subsurface-to-Surface Missile;43;Strike Warfare;57;SU-22 FITTER
43;Surface-to-Subsurface Missile;44;Special;58;SU-24 FENCER
44;Cruise Missile;45;Hijack;59;SU-25 FROGFOOT
45;Ballistic Missile;46;Jammer;60;TU-28 FIDDLER
46;Airborne Land Surveillance;47;Trooplift;61;TU-128 FIDDLER
47;Airborne Laser;48;XRay;62;MIG-21 FISHBED
48;Unmanned Aerial Vehicle (UAV);49;Antiair Warfare (AAW);63;MIG-23 FLOGGER
49;Active Electronic Decoy;50;Command and Control;64;MIG-25 FOXBAT
50;Infrared Decoy;51;Counter-Air Warfare;65;MIG-27 FLOGGER
51;Chaff Decoy;52;Return to Base (RTB);66;YAK-28P FIREBAR
1;Fighter;53;Mine Warfare;67;YAK-36 FORGER
2;Fighter Bomber;54;Chaff Laying;68;AAF RAM-J
3;Attack;55;Video Data Linking (Targeting);69;MIG-15 FAGOT
4;Bomber;56;Dipping;70;MIG-17 FRESCO
5;Reconnaissance;58;Orbiting;71;MIG-19 FARMER
6;Tanker;59;Under Recall;72;SU-27 FLANKER
7;Tanker (Boom Only);60;Engaging;73;MIG-29 FULCRUM
8;Tanker (Drogue Only);61;Engaging (Priority Kill);74;MIG-31 FOXHOUND
9;Interceptor;62;Investigating;75;YAK-38 FORGER-A
10;Transport;63;Cleared to Drop;76;F/A-22 RAPTOR
11;Airborne Command Post (ACP);64;Intervening;77;F/A-22 RAPTOR
13;Missile;65;Diverting;78;F/A-22 RAPTOR
14;Electronic Warfare (EW);66;Air-to-ground;79;FA2 SEA HARRIER
15;Antisubmarine Warfare (ASW);67;Air-to-air;80;IDF CHING-KUO (TAIWAN)
16;Airborne Early Warning and Control (AEW);68;Precision Bombing;81;JAS-39 GRIPPEN
17;Maritime Patrol Aircraft (MPA);69;Laser Designation;82;F-7 JIAN JI-7
18;Search and Rescue (SAR);71;Shadowing;83;F-8 JIAN JI-8-2
19;Drone;72;Covering;84;F-35A JOINT STRIKE FIGHTER
20;Remotely Piloted Vehicle (RPV);73;Visual Identification;85;KFIR C7
21;Fixed Wing Gunship;74;High Energy Lasing;86;KFIR 2000
22;Civil, Airliner;75;Electronic Protection (EP);87;RAFALE
23;Civil, General;76;Special Operations;88;SU-30 FLANKER
24;Lighter than Air (LTA);77;Nuclear, Biological, Chemical (NBC) Operations;89;SU-33 (SU-27K) FLANKER-D
25;Glider;78;Nuclear Operations;90;SU-34 FULLBACK-A
26;Decoy;79;Biological Operations;91;SU-35 FLANKER-E
27;Helicopter (HELO);80;Chemical Operations;92;SU-37 FLANKER-E VAR 2
28;Attack Helicopter;81;Aborting Mission;93;SU-39 FROGFOOT-C
29;Helicopter Gunship;82;Standoff Operations;95;F-5 FRESCO
30;Antisubmarine Warfare Helicopter (ASW HELO);83;Combat Search and Rescue (CSAR);97;J-9
31;Mine Warfare Helicopter;115;Air Activity 1;98;RT33
32;Transport Helicopter;116;Air Activity 2;99;CF-188 HORNET
33;Tactical Support;117;Air Activity 3;104;F/A-18E/F SUPER HORNET
34;Patrol;118;Air Activity 4;105;F-5E
35;Miscellaneous Fixed Wing;119;Air Activity 5;106;F-5F
36;Missile Control Unit;120;Air Activity 6;107;F-14B TOMCAT
37;Surface-to-Air Missile (SAM);121;Air Activity 7;108;F-14D TOMCAT
38;Air-to-Surface Missile (ASM);122;Air Activity 8;109;F-15E STRIKE EAGLE
39;Surface-to-Surface Missile (SSM);123;Air Activity 9;110;F-5A/B/G
40;Logistic;124;Air Activity 10;111;SU-32 FLANKER
41;Air-to-Air Missile (AAM);125;Air Activity 11;112;MIRAGE 2000-5
42;Subsurface-to-Surface Missile;126;Air Activity 12;113;SU-7A FITTER
43;Surface-to-Subsurface Missile;1;Reconnaissance;114;SU-7U MOUJIK
44;Cruise Missile;2;Over the Horizon Targeting (OTHT);115;SU-15E FLAGON
45;Ballistic Missile;3;Training;116;SU-15F FLAGON
46;Airborne Land Surveillance;4;Logistics Support;117;SU-17B FITTER
47;Airborne Laser;5;Antisurface Warfare;118;SU-17C FITTER
48;Unmanned Aerial Vehicle (UAV);6;Electronic Warfare (EW);119;SU-17D FITTER
49;Active Electronic Decoy;7;Surveillance;120;SU-17H FITTER
50;Infrared Decoy;8;Search and Rescue (SAR);121;SU-17K FITTER
51;Chaff Decoy;9;Escorting;122;SU-21 FLAGON
1;Fighter;10;Minelaying;123;SU-22F FITTER
2;Fighter Bomber;11;Transiting;124;SU-22G FITTER
3;Attack;12;Special Weapons Attack;125;SU-22J FITTER
4;Bomber;13;Intruding;126;SU-24A FENCER
5;Reconnaissance;14;Electronic Warfare Support (ES);127;SU-24B FENCER
6;Tanker;15;Communications Relay;128;SU-24C FENCER
7;Tanker (Boom Only);16;Patrol (Ocean Surveillance);129;MIG-21H FISHBED
8;Tanker (Drogue Only);17;Airlift (Transport);130;MIG-21J FISHBED
9;Interceptor;18;Antisubmarine Warfare (ASW);131;MIG-21K FISHBED
10;Transport;20;Towing;132;MIG-21L FISHBED
11;Airborne Command Post (ACP);21;Air Assault;133;MIG-21N FISHBED
13;Missile;22;Interception;134;MIG-23B FLOGGER
14;Electronic Warfare (EW);23;Electronic Attack (EA);135;MIG-23E FLOGGER
15;Antisubmarine Warfare (ASW);24;Policing;136;MIG-23F FLOGGER
16;Airborne Early Warning and Control (AEW);25;Conventional Attack;137;MIG-23H FLOGGER
17;Maritime Patrol Aircraft (MPA);26;Medical Evacuation (MEDEVAC);138;MIG-25A FOXBAT
18;Search and Rescue (SAR);27;Mine Countermeasures;139;MIG-25B FOXBAT
19;Drone;28;Search;140;MIG-25D FOXBAT
20;Remotely Piloted Vehicle (RPV);29;Refueling/Tanking;141;MIG-25E FOXBAT
21;Fixed Wing Gunship;30;Interdiction;142;MIG-27D FLOGGER
22;Civil, Airliner;31;Combat Air Patrol (CAP);143;MIG-27J FLOGGER
23;Civil, General;32;Forward Air Controller (FAC);144;YAK-28D BREWER
24;Lighter than Air (LTA);33;Very Important Person (VIP) Flight;145;YAK-28E BREWER
25;Glider;34;Noncombatant Operations;146;MIG-23G FLOGGER
26;Decoy;35;Close Air Support (CAS);147;YAK-28 BREWER
27;Helicopter (HELO);36;Airborne Early Warning (AEW);148;YAK-28U MAESTRO
28;Attack Helicopter;37;Ground Attack Tactics (GAT);149;YAK-28V FORGER
29;Helicopter Gunship;38;Airborne Command Post (ACP);150;AV-8B HARRIER II
30;Antisubmarine Warfare Helicopter (ASW HELO);39;Rescue Combat Air Patrol (RESCAP);151;AV-8B NIGHT ATTACK HARRIER
31;Mine Warfare Helicopter;40;Surface Combat Air Patrol (SUCAP);152;AV-8D NIGHT ATTACK HARRIER
32;Transport Helicopter;42;Spotting;153;AV-8B HARRIER II PLUS
33;Tactical Support;43;Strike Warfare;154;F-35B JOINT STRIKE FIGHTER
34;Patrol;44;Special;155;F35C JOINT STRIKE FIGHTER
35;Miscellaneous Fixed Wing;45;Hijack;156;EF-18M HORNET
36;Missile Control Unit;46;Jammer;254;FIGHTER (VTOL/VSTOL) GENERAL
37;Surface-to-Air Missile (SAM);47;Trooplift;255;FIGHTER/FIGHTER BOMBER GENERAL
38;Air-to-Surface Missile (ASM);48;XRay;256;A-4 SKYHAWK
39;Surface-to-Surface Missile (SSM);49;Antiair Warfare (AAW);257;A-6 INTRUDER
40;Logistic;50;Command and Control;258;A-7 CORSAIR II
41;Air-to-Air Missile (AAM);51;Counter-Air Warfare;259;A/OA-10 THUNDERBOLT II
42;Subsurface-to-Surface Missile;52;Return to Base (RTB);260;A-37 DRAGONFLY
43;Surface-to-Subsurface Missile;53;Mine Warfare;261;B-1B LANCER
44;Cruise Missile;54;Chaff Laying;262;B-52 STRATOFORTRESS
45;Ballistic Missile;55;Video Data Linking (Targeting);263;AC-130 SPECTRE
46;Airborne Land Surveillance;56;Dipping;266;FB-111 AARDVARK
47;Airborne Laser;58;Orbiting;267;A-1
48;Unmanned Aerial Vehicle (UAV);59;Under Recall;268;TA-28
49;Active Electronic Decoy;60;Engaging;270;AC-47
50;Infrared Decoy;61;Engaging (Priority Kill);277;35XD DRAKEN
51;Chaff Decoy;62;Investigating;278;J-1 HAWK
1;Fighter;63;Cleared to Drop;279;J-1 JASTREB
2;Fighter Bomber;64;Intervening;280;S-2
3;Attack;65;Diverting;281;AJ37 VIGGEN
4;Bomber;66;Air-to-ground;282;HA220 SUPER SAETA
5;Reconnaissance;67;Air-to-air;283;M.B.326
6;Tanker;68;Precision Bombing;284;M.B.339
7;Tanker (Boom Only);69;Laser Designation;285;SF 260 WARRIOR
8;Tanker (Drogue Only);71;Shadowing;286;SK 60
9;Interceptor;72;Covering;287;BAC 167 STRIKEMASTER
10;Transport;73;Visual Identification;288;TORNADO GR-1
11;Airborne Command Post (ACP);74;High Energy Lasing;289;IL-28 BEAGLE
13;Missile;75;Electronic Protection (EP);291;TU-16 BADGER
14;Electronic Warfare (EW);76;Special Operations;292;TU-22 BLINDER
15;Antisubmarine Warfare (ASW);77;Nuclear, Biological, Chemical (NBC) Operations;293;TU-22M BACKFIRE
16;Airborne Early Warning and Control (AEW);78;Nuclear Operations;294;TU-95 BEAR
17;Maritime Patrol Aircraft (MPA);79;Biological Operations;295;TU-142 BEAR
18;Search and Rescue (SAR);80;Chemical Operations;296;YAK-28 BREWER
19;Drone;81;Aborting Mission;297;SUPER ETENDARD
20;Remotely Piloted Vehicle (RPV);82;Standoff Operations;298;TU-160 BLACKJACK
21;Fixed Wing Gunship;83;Combat Search and Rescue (CSAR);299;AMX
22;Civil, Airliner;115;Air Activity 1;303;F-117 NIGHTHAWK
23;Civil, General;116;Air Activity 2;304;G4 SUPER GALEB
24;Lighter than Air (LTA);117;Air Activity 3;306;HAWK-2000
25;Glider;118;Air Activity 4;307;HAWK-100
26;Decoy;119;Air Activity 5;308;HAWK-200
27;Helicopter (HELO);120;Air Activity 6;309;HAWK-50
28;Attack Helicopter;121;Air Activity 7;310;HAWK-60
29;Helicopter Gunship;122;Air Activity 8;311;IA-58 PUCARA
30;Antisubmarine Warfare Helicopter (ASW HELO);123;Air Activity 9;312;IAR-93 ORAO
31;Mine Warfare Helicopter;124;Air Activity 10;313;IAR-99 SOIM
32;Transport Helicopter;125;Air Activity 11;314;JIAN JI-5M
33;Tactical Support;126;Air Activity 12;315;A-5 FANTAN
34;Patrol;1;Reconnaissance;316;L59 ALBATROS
35;Miscellaneous Fixed Wing;2;Over the Horizon Targeting (OTHT);317;B-2 SPIRIT
36;Missile Control Unit;3;Training;318;B-7 HONGZHA
37;Surface-to-Air Missile (SAM);4;Logistics Support;319;1050E
38;Air-to-Surface Missile (ASM);5;Antisurface Warfare;321;GR.7 HARRIER
39;Surface-to-Surface Missile (SSM);6;Electronic Warfare (EW);322;TORNADO GR4
40;Logistic;7;Surveillance;326;A-6E INTRUDER
41;Air-to-Air Missile (AAM);8;Search and Rescue (SAR);327;A-6F INTRUDER
42;Subsurface-to-Surface Missile;9;Escorting;328;A-7C CORSAIR II
43;Surface-to-Subsurface Missile;10;Minelaying;329;A-7D CORSAIR II
44;Cruise Missile;11;Transiting;330;A-7E CORSAIR II
45;Ballistic Missile;12;Special Weapons Attack;331;TU-16A BADGER
46;Airborne Land Surveillance;13;Intruding;332;TU-22A BLINDER
47;Airborne Laser;14;Electronic Warfare Support (ES);333;TU-22B BLINDER
48;Unmanned Aerial Vehicle (UAV);15;Communications Relay;334;TU-95A BEAR
49;Active Electronic Decoy;16;Patrol (Ocean Surveillance);335;TU-95B BEAR
50;Infrared Decoy;17;Airlift (Transport);336;TU-95C BEAR
51;Chaff Decoy;18;Antisubmarine Warfare (ASW);337;TU-95D BEAR
1;Fighter;20;Towing;338;TU-95G BEAR
2;Fighter Bomber;21;Air Assault;339;TU-95H BEAR
3;Attack;22;Interception;340;L-39ZA ALBATROS
4;Bomber;23;Electronic Attack (EA);341;AL-1 AIRBORNE LASER
5;Reconnaissance;24;Policing;342;MIRAGE 2000 N/D
6;Tanker;25;Conventional Attack;343;GR.9 HARRIER
7;Tanker (Boom Only);26;Medical Evacuation (MEDEVAC);511;BOMBER/ATTACK GENERAL
8;Tanker (Drogue Only);27;Mine Countermeasures;512;E-2C HAWKEYE
9;Interceptor;28;Search;513;E-3 SENTRY (AWACS)
10;Transport;29;Refueling/Tanking;514;E-4 NAOC
11;Airborne Command Post (ACP);30;Interdiction;516;EA-6 PROWLER
13;Missile;31;Combat Air Patrol (CAP);518;EC-130 HERCULES
14;Electronic Warfare (EW);32;Forward Air Controller (FAC);520;EF-4 WILD WEASEL
15;Antisubmarine Warfare (ASW);33;Very Important Person (VIP) Flight;522;EP-3 ORION
16;Airborne Early Warning and Control (AEW);34;Noncombatant Operations;525;KC-10 EXTENDER
17;Maritime Patrol Aircraft (MPA);35;Close Air Support (CAS);526;KC-130 HERCULES
18;Search and Rescue (SAR);36;Airborne Early Warning (AEW);527;KC-135 STRATOTANKER
19;Drone;37;Ground Attack Tactics (GAT);528;O-1 BIRD DOG
20;Remotely Piloted Vehicle (RPV);38;Airborne Command Post (ACP);529;O-2
21;Fixed Wing Gunship;39;Rescue Combat Air Patrol (RESCAP);530;OV-1 MOHAWK
22;Civil, Airliner;40;Surface Combat Air Patrol (SUCAP);531;OV-10 BRONCO
23;Civil, General;42;Spotting;533;P-3 ORION
24;Lighter than Air (LTA);43;Strike Warfare;534;RC-130 HERCULES
25;Glider;44;Special;535;RC-135
26;Decoy;45;Hijack;536;RF-4 PHANTOM II
27;Helicopter (HELO);46;Jammer;537;RF-5
28;Attack Helicopter;47;Trooplift;539;RF-14 TOMCAT
29;Helicopter Gunship;48;XRay;540;RF-104 STARFIGHTER
30;Antisubmarine Warfare Helicopter (ASW HELO);49;Antiair Warfare (AAW);541;RP-3 ORION
31;Mine Warfare Helicopter;50;Command and Control;542;RU-21 UTE
32;Transport Helicopter;51;Counter-Air Warfare;543;S-2 TRACKER
33;Tactical Support;52;Return to Base (RTB);544;S-3B VIKING
34;Patrol;53;Mine Warfare;545;SR-71 BLACKBIRD
35;Miscellaneous Fixed Wing;54;Chaff Laying;546;U-2
36;Missile Control Unit;55;Video Data Linking (Targeting);547;U-4 AERO COMMANDER
37;Surface-to-Air Missile (SAM);56;Dipping;549;U-8 SEMINOLE
38;Air-to-Surface Missile (ASM);58;Orbiting;550;U-10 COURIER
39;Surface-to-Surface Missile (SSM);59;Under Recall;551;UC-12 HURON
40;Logistic;60;Engaging;552;U-21 UTE
41;Air-to-Air Missile (AAM);61;Engaging (Priority Kill);553;US-3 VIKING
42;Subsurface-to-Surface Missile;62;Investigating;554;OA-37 DRAGONFLY
43;Surface-to-Subsurface Missile;63;Cleared to Drop;555;TR-1
44;Cruise Missile;64;Intervening;556;WC-130 HERCULES
45;Ballistic Missile;65;Diverting;561;SEA SCAN
46;Airborne Land Surveillance;66;Air-to-ground;562;FALCON 20 GUARDIAN
47;Airborne Laser;67;Air-to-air;563;BR 1150 ATL1
48;Unmanned Aerial Vehicle (UAV);68;Precision Bombing;564;RF-35XD DRAKEN
49;Active Electronic Decoy;69;Laser Designation;565;BN-2T MARITIME DEFENDER
50;Infrared Decoy;71;Shadowing;568;CP-140 AURORA
51;Chaff Decoy;72;Covering;569;HS.748 COASTGUARDER
1;Fighter;73;Visual Identification;570;NIMROD MR2
2;Fighter Bomber;74;High Energy Lasing;572;MK.3
3;Attack;75;Electronic Protection (EP);573;RJ-1 HAWK
4;Bomber;76;Special Operations;574;RJ-1 JASTREB
5;Reconnaissance;77;Nuclear, Biological, Chemical (NBC) Operations;577;KC-97
6;Tanker;78;Nuclear Operations;578;AU-24
7;Tanker (Boom Only);79;Biological Operations;579;AU-23
8;Tanker (Drogue Only);80;Chemical Operations;581;U-17
9;Interceptor;81;Aborting Mission;582;HU-16
10;Transport;82;Standoff Operations;583;U-9
11;Airborne Command Post (ACP);83;Combat Search and Rescue (CSAR);584;U-3
13;Missile;115;Air Activity 1;586;NKC-135
14;Electronic Warfare (EW);116;Air Activity 2;588;RF-111
15;Antisubmarine Warfare (ASW);117;Air Activity 3;592;BE-12 MAIL
16;Airborne Early Warning and Control (AEW);118;Air Activity 4;593;IL-38 MAY
17;Maritime Patrol Aircraft (MPA);119;Air Activity 5;594;TU-126 MOSS
18;Search and Rescue (SAR);120;Air Activity 6;596;VC-10 (TANKER)
19;Drone;121;Air Activity 7;597;AN-12 CUB-A (ELINT)
20;Remotely Piloted Vehicle (RPV);122;Air Activity 8;598;AN-12 CUB-C (EA)
21;Fixed Wing Gunship;123;Air Activity 9;599;AN-12 CUB-D (EA)
22;Civil, Airliner;124;Air Activity 10;600;IL-20 COOT-A (ELINT)
23;Civil, General;125;Air Activity 11;601;IL-76 MAINSTAY
24;Lighter than Air (LTA);126;Air Activity 12;602;E-8C (JSTARS)
25;Glider;1;Reconnaissance;603;TORNADO ECR
26;Decoy;2;Over the Horizon Targeting (OTHT);605;EMB-111
27;Helicopter (HELO);3;Training;606;MU-2S
28;Attack Helicopter;4;Logistics Support;607;A40 ALBATROS
29;Helicopter Gunship;5;Antisurface Warfare;608;BE42 MERMAID
30;Antisubmarine Warfare Helicopter (ASW HELO);6;Electronic Warfare (EW);609;CL215 AMPHIBIAN
31;Mine Warfare Helicopter;7;Surveillance;610;IAI 1125
32;Transport Helicopter;8;Search and Rescue (SAR);611;IL22 COOT B
33;Tactical Support;9;Escorting;612;J32 LANSEN
34;Patrol;10;Minelaying;613;SH5 HARBIN
35;Miscellaneous Fixed Wing;11;Transiting;617;US1 (SHIN)
36;Missile Control Unit;12;Special Weapons Attack;619;CESSNA 550 CITATION II
37;Surface-to-Air Missile (SAM);13;Intruding;620;CESSNA 560 CITATION V
38;Air-to-Surface Missile (ASM);14;Electronic Warfare Support (ES);622;DORNIER 27
39;Surface-to-Surface Missile (SSM);15;Communications Relay;624;NIMROD MRA4
40;Logistic;16;Patrol (Ocean Surveillance);625;CP-140A ARCTURUS
41;Air-to-Air Missile (AAM);17;Airlift (Transport);626;RC-135 RIVET JOINT
42;Subsurface-to-Surface Missile;18;Antisubmarine Warfare (ASW);627;ATL 2
43;Surface-to-Subsurface Missile;20;Towing;628;ETENDARD IV P
44;Cruise Missile;21;Air Assault;629;ALIZE
45;Ballistic Missile;22;Interception;630;FALCON 50
46;Airborne Land Surveillance;23;Electronic Attack (EA);631;MIRAGE IV
47;Airborne Laser;24;Policing;632;MIRAGE 2000
48;Unmanned Aerial Vehicle (UAV);25;Conventional Attack;633;BR 1150 GE ATL ASW
49;Active Electronic Decoy;26;Medical Evacuation (MEDEVAC);634;BR 1150 GE ATL SIGINT
50;Infrared Decoy;27;Mine Countermeasures;636;ASTOR
51;Chaff Decoy;28;Search;637;E-3A SENTRY (AWACS)
1;Fighter;29;Refueling/Tanking;638;E-3B/C SENTRY (AWACS)
2;Fighter Bomber;30;Interdiction;639;E-3D SENTRY (AWACS)
3;Attack;31;Combat Air Patrol (CAP);640;E-3F SENTRY (AWACS)
4;Bomber;32;Forward Air Controller (FAC);641;E-4B NAOC
5;Reconnaissance;33;Very Important Person (VIP) Flight;642;EA-6B PROWLER
6;Tanker;34;Noncombatant Operations;643;EC-130E HERCULES
7;Tanker (Boom Only);35;Close Air Support (CAS);644;EC-130H HERCULES
8;Tanker (Drogue Only);36;Airborne Early Warning (AEW);645;EC-130J HERCULES
9;Interceptor;37;Ground Attack Tactics (GAT);646;NIMROD R
10;Transport;38;Airborne Command Post (ACP);647;KC-10A EXTENDER
11;Airborne Command Post (ACP);39;Rescue Combat Air Patrol (RESCAP);648;KC-130J HERCULES
13;Missile;40;Surface Combat Air Patrol (SUCAP);649;OV-2A SKYMASTER
14;Electronic Warfare (EW);42;Spotting;650;U-2R
15;Antisubmarine Warfare (ASW);43;Strike Warfare;651;US-3A VIKING
16;Airborne Early Warning and Control (AEW);44;Special;652;WC-130J HERCULES
17;Maritime Patrol Aircraft (MPA);45;Hijack;653;U-2S
18;Search and Rescue (SAR);46;Jammer;654;AN-12 CUB-B (ELINT)
19;Drone;47;Trooplift;655;IL-76 CANDID-B
20;Remotely Piloted Vehicle (RPV);48;XRay;656;E-6A TACAMO
21;Fixed Wing Gunship;49;Antiair Warfare (AAW);657;CL-415 AMPHIBIAN
22;Civil, Airliner;50;Command and Control;658;A-4M SKYHAWK
23;Civil, General;51;Counter-Air Warfare;659;TU-16B BADGER
24;Lighter than Air (LTA);52;Return to Base (RTB);660;TU-16C BADGER
25;Glider;53;Mine Warfare;661;TU-16D BADGER
26;Decoy;54;Chaff Laying;662;TU-16E BADGER
27;Helicopter (HELO);55;Video Data Linking (Targeting);663;TU-16F BADGER
28;Attack Helicopter;56;Dipping;664;TU-16G BADGER
29;Helicopter Gunship;58;Orbiting;665;TU-16H BADGER
30;Antisubmarine Warfare Helicopter (ASW HELO);59;Under Recall;666;TU-16J BADGER
31;Mine Warfare Helicopter;60;Engaging;667;TU-16K BADGER
32;Transport Helicopter;61;Engaging (Priority Kill);668;TU-16M BADGER
33;Tactical Support;62;Investigating;669;TU-22C BLINDER
34;Patrol;63;Cleared to Drop;670;TU-95E BEAR
35;Miscellaneous Fixed Wing;64;Intervening;671;TU-95F BEAR
36;Missile Control Unit;65;Diverting;672;RC-135 COBRA BALL
37;Surface-to-Air Missile (SAM);66;Air-to-ground;673;RC-135 COMBAT SENT
38;Air-to-Surface Missile (ASM);67;Air-to-air;674;E/A-18G GROWLER
39;Surface-to-Surface Missile (SSM);68;Precision Bombing;675;HU-25 GUARDIAN
40;Logistic;69;Laser Designation;676;A310 MRTT
41;Air-to-Air Missile (AAM);71;Shadowing;677;MIRAGE F1 CR
42;Subsurface-to-Surface Missile;72;Covering;678;E-6B ABNCP
43;Surface-to-Subsurface Missile;73;Visual Identification;679;AN-28 BRYZA B1R
44;Cruise Missile;74;High Energy Lasing;680;P-8A MMA
45;Ballistic Missile;75;Electronic Protection (EP);762;TANKER
46;Airborne Land Surveillance;76;Special Operations;763;RECONNAISSANCE (RECON)
47;Airborne Laser;77;Nuclear, Biological, Chemical (NBC) Operations;764;ELECTRONIC WARFARE (EW)
48;Unmanned Aerial Vehicle (UAV);78;Nuclear Operations;765;ASW
49;Active Electronic Decoy;79;Biological Operations;766;AEW AND C
50;Infrared Decoy;80;Chemical Operations;767;MISCELLANEOUS GENERAL
51;Chaff Decoy;81;Aborting Mission;768;T-2 BUCKEYE
1;Fighter;82;Standoff Operations;769;T-28 TROJAN
2;Fighter Bomber;83;Combat Search and Rescue (CSAR);770;T-29
3;Attack;115;Air Activity 1;771;T-34 MENTOR
4;Bomber;116;Air Activity 2;772;T-37 TWEET
5;Reconnaissance;117;Air Activity 3;773;T-38 TALON
6;Tanker;118;Air Activity 4;774;T-39 SABRELINER
7;Tanker (Boom Only);119;Air Activity 5;775;T-41 MESCALERO
8;Tanker (Drogue Only);120;Air Activity 6;776;T-42 COCHISE
9;Interceptor;121;Air Activity 7;777;T-43
10;Transport;122;Air Activity 8;778;T-44 KING AIR
11;Airborne Command Post (ACP);123;Air Activity 9;779;TA-4 SKYHAWK
13;Missile;124;Air Activity 10;780;TA-7 CORSAIR II
14;Electronic Warfare (EW);125;Air Activity 11;781;T-33
15;Antisubmarine Warfare (ASW);126;Air Activity 12;782;ALPHA JET
16;Airborne Early Warning and Control (AEW);1;Reconnaissance;783;B3LA
17;Maritime Patrol Aircraft (MPA);2;Over the Horizon Targeting (OTHT);784;C-101 AVIOJET
18;Search and Rescue (SAR);3;Training;785;G2-A GALEB
19;Drone;4;Logistics Support;786;G2-A SEAGULL
20;Remotely Piloted Vehicle (RPV);5;Antisurface Warfare;787;L-29 DELFIN
21;Fixed Wing Gunship;6;Electronic Warfare (EW);789;L-39 ALBATROS
22;Civil, Airliner;7;Surveillance;790;L-70 MILTRAINER
23;Civil, General;8;Search and Rescue (SAR);791;L-450
24;Lighter than Air (LTA);9;Escorting;792;P.55
25;Glider;10;Minelaying;793;T-2
26;Decoy;11;Transiting;794;CM 170 MAGISTER
27;Helicopter (HELO);12;Special Weapons Attack;795;M.B.339
28;Attack Helicopter;13;Intruding;797;CM AU/ MAGISTER
29;Helicopter Gunship;14;Electronic Warfare Support (ES);799;SF-260
30;Antisubmarine Warfare Helicopter (ASW HELO);15;Communications Relay;800;SH 37 VIGGEN
31;Mine Warfare Helicopter;16;Patrol (Ocean Surveillance);802;SK 37 VIGGEN
32;Transport Helicopter;17;Airlift (Transport);803;SK 60
33;Tactical Support;18;Antisubmarine Warfare (ASW);804;TB30 EPSILON
34;Patrol;20;Towing;805;TF-35XD
35;Miscellaneous Fixed Wing;21;Air Assault;806;TJ-1 HAWK
36;Missile Control Unit;22;Interception;807;TJ-1 JASTREB
37;Surface-to-Air Missile (SAM);23;Electronic Attack (EA);808;TS.11 SPARK
