Platnum;Platval;Actnum;Actval;Stypenum;Stypeval
22;Non-Military;15;Intelligence Collecting;399;TYPE G FFG
23;Landing Platform;16;Patrol;479;FFLG GENERAL (FAST FRIGATE, LIGHT GUIDED)
24;Landing Ship;17;Transport;480;ALBATROS FFLG
25;Command;18;Antisubmarine Warfare (ASW);481;AUK FFLG
26;Ocean Research;20;Towing;484;MINERVA FFLG
27;Patrol;21;Special Warfare;485;NANUCHKA I FFLG
28;Support;22;Strike Warfare;487;NANUCHKA III FFLG
29;Fishing Vessel;23;Antiair Warfare;489;PF-103 FFLG
30;Merchant Vessel;24;Fishing;490;SAAR 5 FFLG
31;Patrol Craft Escort;25;Picketing;491;SLEIPNER FFLG
32;Amphibious General Assault;26;Mine Countermeasures;492;TARANTUL I FFLG
33;Missile Control Unit;27;Mine Warfare;493;TARANTUL II FFLG
34;Decoy;28;Marking;496;BURAK FFLG
35;Infrared Decoy;29;Noncombatant Operations;518;LL GENERAL (AMPHIBIOUS ASSAULT, GENERAL)
36;Chaff Decoy;30;Underway Replenishment;529;LCC GENERAL (AMPHIBIOUS COMMAND, COMMUNICATIONS)
37;Active Electronic Decoy;31;Surveying;530;LCC-19 (BLUE RIDGE)
1;Aircraft Carrier;32;Electronic Warfare Support (ES);532;LCC-20 (MOUNT WHITNEY)
2;Battleship;33;Electronic Attack (EA);541;LKA GENERAL (AMPHIBIOUS CARGO SHIP)
3;Cruiser;34;Flight Operations;564;LHA GENERAL (AMPHIBIOUS ASSAULT SHIP, GENERAL)
4;Destroyer;35;Video Data Linking (Targeting);565;TARAWA LHA
5;Frigate;36;Plane Guard;566;MISTRAL LHA
6;Fast Patrol Boat;37;Rescue Ship/Lifeguard;576;LHD GENERAL (AMPHIBIOUS ASSAULT SHIP, MULTI-PURPOSE)
7;Amphibious;38;Special Operations;577;WASP LHD
8;LHA/LHD;39;Shadowing;599;LPD GENERAL (AMPHIBIOUS TRANSPORT, DOCK)
9;Amphibious Assault Command Ship (LCC);40;Intervening;600;AUSTIN LPD
10;Landing Craft (LC);41;Nuclear, Biological, Chemical (NBC) Operations;602;IVAN ROGOV LPD
11;Troop Ship;42;Nuclear Operations;603;GALICIA LPD
12;Tanker/Oiler;43;Biological Operations;605;SAN GIORGIO LPD
13;Auxiliary Ship;44;Chemical Operations;606;ROTTERDAM LPD
14;Mine Warfare Ship;45;Electronic Protection (EP);616;LPH GENERAL (AMPHIBIOUS ASSAULT SHIP, HELICOPTER)
15;Mine Countermeasures Maritime Vessel (MCMV);46;Combat Search and Rescue (CSAR);617;IWO JIMA LPH
16;Hospital Ship;47;BMD Mission;628;LSD GENERAL (LANDING SHIP, DOCK)
17;Surfaced Submarine;50;Return To Base (RTB);629;ANCHORAGE LSD
18;Hydrofoil;115;Surface Activity 1;630;ASHLAND LSD
19;Air Cushion Vehicle;116;Surface Activity 2;632;OURAGAN LSD
20;Intelligence Collector;117;Surface Activity 3;633;FOUDRE LSD
21;Survey Vessel;118;Surface Activity 4;635;WHIDBEY ISLAND LSD
22;Non-Military;119;Surface Activity 5;636;HARPER'S FERRY LSD
23;Landing Platform;120;Surface Activity 6;647;LSL GENERAL (LANDING SHIP, LOGISTICS)
24;Landing Ship;121;Surface Activity 7;649;BAY LSL
25;Command;122;Surface Activity 8;658;LSM GENERAL (LANDING SHIP, MEDIUM)
26;Ocean Research;123;Surface Activity 9;660;BATRAL LCM
27;Patrol;124;Surface Activity 10;663;EDIC II LCU
28;Support;125;Surface Activity 11;671;YUDAO LSM
29;Fishing Vessel;126;Surface Activity 12;673;BOUGAINVILLE LSM
30;Merchant Vessel;1;Air Warfare Support;688;LST GENERAL (LANDING SHIP, TANK)
31;Patrol Craft Escort;2;Over the Horizon Targeting (OTHT);689;ALLIGATOR LST
32;Amphibious General Assault;3;Training;690;ATSUMI LST
33;Missile Control Unit;4;Logistics Support;694;CNIM PS 700 LST
34;Decoy;5;Antisurface Warfare;697;HENGAM LST
35;Infrared Decoy;6;Electronic Warfare (EW);700;MIURA LST
36;Chaff Decoy;7;Fishery Protection;701;NEWPORT LST
37;Active Electronic Decoy;8;Search and Rescue (SAR);702;ROPUCHA LST
1;Aircraft Carrier;9;Escorting;703;SARUCABEY LST
2;Battleship;10;Minelaying;704;CNGF LST
3;Cruiser;11;Transiting;705;OCEAN LPH
4;Destroyer;12;Naval Surface Fire Support;706;ALBION LPD
5;Frigate;13;Intruding;708;TOBRUK LST
6;Fast Patrol Boat;14;Amphibious Warfare;710;YUKAN LST
7;Amphibious;15;Intelligence Collecting;731;LSV GENERAL (LANDING SHIP, VEHICLE)
8;LHA/LHD;16;Patrol;742;LC GENERAL (ASSAULT CRAFT)
9;Amphibious Assault Command Ship (LCC);17;Transport;752;LCM GENERAL (LANDING CRAFT, MECHANIZED)
10;Landing Craft (LC);18;Antisubmarine Warfare (ASW);753;CTM 1 LCM
11;Troop Ship;20;Towing;756;LCM 6
12;Tanker/Oiler;21;Special Warfare;757;LCM 8
13;Auxiliary Ship;22;Strike Warfare;758;T-4 LCM
14;Mine Warfare Ship;23;Antiair Warfare;759;TSAPLYA LCM
15;Mine Countermeasures Maritime Vessel (MCMV);24;Fishing;760;LCM (TYPE 521)
16;Hospital Ship;25;Picketing;773;LCP GENERAL (LANDING CRAFT, PERSONNEL)
17;Surfaced Submarine;26;Mine Countermeasures;789;LCPL GENERAL (LANDING CRAFT, PERSONNEL, LARGE)
18;Hydrofoil;27;Mine Warfare;800;LCW GENERAL (LANDING CRAFT, SWIMMER SUPPORT)
19;Air Cushion Vehicle;28;Marking;811;LCU GENERAL (LANDING CRAFT, UTILITY)
20;Intelligence Collector;29;Noncombatant Operations;812;BALIKPAPAN LCU
21;Survey Vessel;30;Underway Replenishment;813;BOMBARDA LCU
22;Non-Military;31;Surveying;819;DSM-501 LCU
23;Landing Platform;32;Electronic Warfare Support (ES);824;LCT MK 5 LCU
24;Landing Ship;33;Electronic Attack (EA);825;LCT MK 6 LCU
25;Command;34;Flight Operations;827;MFP D-3 LCU
26;Ocean Research;35;Video Data Linking (Targeting);828;MZ LCU
27;Patrol;36;Plane Guard;829;REINOYSUND LCU
28;Support;37;Rescue Ship/Lifeguard;830;SMB-1 LCU
29;Fishing Vessel;38;Special Operations;831;TU 57-M LCU
30;Merchant Vessel;39;Shadowing;834;YURA LCU
31;Patrol Craft Escort;40;Intervening;867;LCVP GENERAL (LANDING CRAFT, VEHICLE, PERSONNEL)
32;Amphibious General Assault;41;Nuclear, Biological, Chemical (NBC) Operations;878;LCAC GENERAL (LANDING CRAFT, AIR CUSHION)
33;Missile Control Unit;42;Nuclear Operations;879;AIST LCAC
34;Decoy;43;Biological Operations;880;GUS LCAC
35;Infrared Decoy;44;Chemical Operations;883;WELLINGTON BH-7 MK 4 LCAC
36;Chaff Decoy;45;Electronic Protection (EP);884;WELLINGTON BH-7 MK 5 LCAC
37;Active Electronic Decoy;46;Combat Search and Rescue (CSAR);897;MM GENERAL (MINE WARFARE VESSEL)
1;Aircraft Carrier;47;BMD Mission;901;CARLSKRONA MM
2;Battleship;50;Return To Base (RTB);903;FALSTER MM
3;Cruiser;115;Surface Activity 1;904;FURUSUND (MUL-20) MM
4;Destroyer;116;Surface Activity 2;906;LINDORMEN MM
5;Frigate;117;Surface Activity 3;907;LSM-1 (MODIFIED) MM
6;Fast Patrol Boat;118;Surface Activity 4;908;MUL-11 MM
7;Amphibious;119;Surface Activity 5;909;MUL-12 MM
8;LHA/LHD;120;Surface Activity 6;913;VIDAR MM
9;Amphibious Assault Command Ship (LCC);121;Surface Activity 7;936;MCS GENERAL (MINE COUNTERMEASURES, SUPPORT SHIP)
10;Landing Craft (LC);122;Surface Activity 8;947;MCJ GENERAL (MINE COUNTERMEASURE VESSEL, HOVERCRAFT)
11;Troop Ship;123;Surface Activity 9;958;MCD GENERAL (MINE COUNTERMEASURE VESSEL, DIVING)
12;Tanker/Oiler;124;Surface Activity 10;959;KINGSTON MCD
13;Auxiliary Ship;125;Surface Activity 11;960;MUEHLHAUSEN MSA
14;Mine Warfare Ship;126;Surface Activity 12;969;MCM GENERAL (MINE COUNTERMEASURES SHIP, GENERAL)
15;Mine Countermeasures Maritime Vessel (MCMV);1;Air Warfare Support;980;MH GENERAL (MINEHUNTER, GENERAL)
16;Hospital Ship;2;Over the Horizon Targeting (OTHT);991;MHO GENERAL (MINEHUNTER, OCEAN)
17;Surfaced Submarine;3;Training;1002;MHC GENERAL (MINEHUNTER, COASTAL)
18;Hydrofoil;4;Logistics Support;1003;ADJUTANT (MODIFIED) MHC
19;Air Cushion Vehicle;5;Antisurface Warfare;1004;AGGRESSIVE MHC
20;Intelligence Collector;6;Electronic Warfare (EW);1005;CIRCE MHC
21;Survey Vessel;7;Fishery Protection;1006;WEIDEN (TYPE 332) MHC
22;Non-Military;8;Search and Rescue (SAR);1009;HUNT MHC
23;Landing Platform;9;Escorting;1010;LANDSORT MHC
24;Landing Ship;10;Minelaying;1011;LERICI MHC
25;Command;11;Transiting;1012;MSC 50 MHC
26;Ocean Research;12;Naval Surface Fire Support;1013;MSO 218 MHC
27;Patrol;13;Intruding;1014;MSO 503 MHC
28;Support;14;Amphibious Warfare;1016;SIRIUS MHC
29;Fishing Vessel;15;Intelligence Collecting;1018;TRIPARTITE MHC
30;Merchant Vessel;16;Patrol;1019;VANYA I MHC
31;Patrol Craft Escort;17;Transport;1020;SANDOWN (SRMH) MHC
32;Amphibious General Assault;18;Antisubmarine Warfare (ASW);1021;KULMBACH (TYPE 333) MHC
33;Missile Control Unit;20;Towing;1022;ENGIN MHC
34;Decoy;21;Special Warfare;1025;MHS GENERAL (MINEHUNTER/SWEEPER, GENERAL)
35;Infrared Decoy;22;Strike Warfare;1030;MHSC GENERAL (MINEHUNTER/SWEEPER, COASTAL)
36;Chaff Decoy;23;Antiair Warfare;1031;MARS MHSC
37;Active Electronic Decoy;24;Fishing;1044;MHI GENERAL (MINEHUNTER, INSHORE)
1;Aircraft Carrier;25;Picketing;1045;BAY (MHSC)
2;Battleship;26;Mine Countermeasures;1055;MHA GENERAL (MINEHUNTER, AUXILIARY)
3;Cruiser;27;Mine Warfare;1066;ML GENERAL (MINELAYER, GENERAL)
4;Destroyer;28;Marking;1077;MLC GENERAL (MINELAYER, COASTAL)
5;Frigate;29;Noncombatant Operations;1079;POHJANMAA MLS
6;Fast Patrol Boat;30;Underway Replenishment;1080;HAMEENMAA MLC
7;Amphibious;31;Surveying;1089;MLI GENERAL (MINELAYER, INSHORE)
8;LHA/LHD;32;Electronic Warfare Support (ES);1100;MLO GENERAL (MINELAYER, OCEAN)
9;Amphibious Assault Command Ship (LCC);33;Electronic Attack (EA);1111;MLR GENERAL (MINELAYER, RIVER)
10;Landing Craft (LC);34;Flight Operations;1122;MLA GENERAL (MINELAYER, AUXILIARY)
11;Troop Ship;35;Video Data Linking (Targeting);1133;MLS GENERAL (MINELAYER, SUPPORT SHIP)
12;Tanker/Oiler;36;Plane Guard;1144;MS GENERAL (MINESWEEPER, SMALL, GENERAL)
13;Auxiliary Ship;37;Rescue Ship/Lifeguard;1155;MSF GENERAL (MINESWEEPER, FLEET)
14;Mine Warfare Ship;38;Special Operations;1157;K-8 MSF
15;Mine Countermeasures Maritime Vessel (MCMV);39;Shadowing;1158;KROGULEC MSF
16;Hospital Ship;40;Intervening;1159;M-40 MSF
17;Surfaced Submarine;41;Nuclear, Biological, Chemical (NBC) Operations;1160;MSO-421 MSF
18;Hydrofoil;42;Nuclear Operations;1161;NATYA I MSF
19;Air Cushion Vehicle;43;Biological Operations;1162;NATYA II MSF
20;Intelligence Collector;44;Chemical Operations;1163;RIVER MSF
21;Survey Vessel;45;Electronic Protection (EP);1164;T-43 MSF
22;Non-Military;46;Combat Search and Rescue (CSAR);1165;YURKA MSF
23;Landing Platform;47;BMD Mission;1181;MSO GENERAL (MINESWEEPER, OCEAN)
24;Landing Ship;50;Return To Base (RTB);1194;MSC GENERAL (MINESWEEPER, COASTAL)
25;Command;115;Surface Activity 1;1195;136 FT MSC
26;Ocean Research;116;Surface Activity 2;1200;HATSUSHIMA MSC
27;Patrol;117;Surface Activity 3;1204;LENIWKA MSC
28;Support;118;Surface Activity 4;1205;HAMELN (TYPE 343) MSC
29;Fishing Vessel;119;Surface Activity 5;1206;268 MSC
30;Merchant Vessel;120;Surface Activity 6;1207;292 MSC
31;Patrol Craft Escort;121;Surface Activity 7;1208;294 MSC
32;Amphibious General Assault;122;Surface Activity 8;1209;NOTEC MSC
33;Missile Control Unit;123;Surface Activity 9;1214;SONYA MSC
34;Decoy;124;Surface Activity 10;1215;T-301 MSC
35;Infrared Decoy;125;Surface Activity 11;1216;T-43 MSC
36;Chaff Decoy;126;Surface Activity 12;1220;VANYA I MSC
37;Active Electronic Decoy;1;Air Warfare Support;1224;TYPE S MSC
1;Aircraft Carrier;2;Over the Horizon Targeting (OTHT);1225;TYPE K MSC
2;Battleship;3;Training;1264;MSI GENERAL (MINESWEEPER, INSHORE)
3;Cruiser;4;Logistics Support;1266;AUX MINESWEEPER NO 1 MSI
4;Destroyer;5;Antisurface Warfare;1271;KIISKI MSI
5;Frigate;6;Electronic Warfare (EW);1272;KUHA MSI
6;Fast Patrol Boat;7;Fishery Protection;1273;M-111 MSI
7;Amphibious;8;Search and Rescue (SAR);1274;M-15 MSI
8;LHA/LHD;9;Escorting;1275;M-31 MSI
9;Amphibious Assault Command Ship (LCC);10;Minelaying;1276;M-43/47 MSI
10;Landing Craft (LC);11;Transiting;1278;WOCHANG (WU CHANG) MSI
11;Troop Ship;12;Naval Surface Fire Support;1281;TYPE F MSI
12;Tanker/Oiler;13;Intruding;1303;MSR GENERAL (MINESWEEPER, RIVER)
13;Auxiliary Ship;14;Amphibious Warfare;1314;MSB GENERAL (MINESWEEPER, BOAT)
14;Mine Warfare Ship;15;Intelligence Collecting;1315;K-8 MSB
15;Mine Countermeasures Maritime Vessel (MCMV);16;Patrol;1316;N-300 MSB
16;Hospital Ship;17;Transport;1317;NESTIN MSB
17;Surfaced Submarine;18;Antisubmarine Warfare (ASW);1318;NO. 7 MSB
18;Hydrofoil;20;Towing;1319;OLYA MSB
19;Air Cushion Vehicle;21;Special Warfare;1320;PO-2 MSB
20;Intelligence Collector;22;Strike Warfare;1321;TR-40 MSB
21;Survey Vessel;23;Antiair Warfare;1322;VD-141 MSB
22;Non-Military;24;Fishing;1323;VULCAIN MSB
23;Landing Platform;25;Picketing;1335;MSA GENERAL (MINESWEEPER, AUXILIARY)
24;Landing Ship;26;Mine Countermeasures;1346;MSD GENERAL (MINESWEEPER, DRONE)
25;Command;27;Mine Warfare;1347;HFG-1 (TROIKA) MSD
26;Ocean Research;28;Marking;1359;MSCD GENERAL (MINESWEEPER, COASTAL, WITH DRONE)
27;Patrol;29;Noncombatant Operations;1370;MSS GENERAL (MINESWEEPER, SPECIAL DEVICE)
28;Support;30;Underway Replenishment;1372;BALTICA MSS
29;Fishing Vessel;31;Surveying;1373;POLNOCNY MSS
30;Merchant Vessel;32;Electronic Warfare Support (ES);1384;MSH GENERAL (MINEHUNTER, GENERAL)
31;Patrol Craft Escort;33;Electronic Attack (EA);1406;MSHC GENERAL (MINEHUNTER/SWEEPER, COASTAL)
32;Amphibious General Assault;34;Flight Operations;1420;PP GENERAL (MOTOR/PATROL CRAFT, FAST, GENERAL)
33;Missile Control Unit;35;Video Data Linking (Targeting);1421;AB 25 PP
34;Decoy;36;Plane Guard;1423;BALDER PP
35;Infrared Decoy;37;Rescue Ship/Lifeguard;1425;ISLAND PP
36;Chaff Decoy;38;Special Operations;1427;PC-1638 PP
37;Active Electronic Decoy;39;Shadowing;1439;PG GENERAL (PATROL CRAFT, GUN EQUIPPED, GENERAL)
1;Aircraft Carrier;40;Intervening;1440;BESKYTTEVREN (BESKYTERREN) PG
2;Battleship;41;Nuclear, Biological, Chemical (NBC) Operations;1441;BIHORO PG
3;Cruiser;42;Nuclear Operations;1444;HVIDBJORNEN (HVIDBJORNEN) PG
4;Destroyer;43;Biological Operations;1445;IZU PG
5;Frigate;44;Chemical Operations;1446;KOJIMA PG
6;Fast Patrol Boat;45;Electronic Protection (EP);1448;NOJIMA PG
7;Amphibious;46;Combat Search and Rescue (CSAR);1449;PAUK PG
8;LHA/LHD;47;BMD Mission;1451;POTI PG
9;Amphibious Assault Command Ship (LCC);50;Return To Base (RTB);1453;SHIRETOKO PG
10;Landing Craft (LC);115;Surface Activity 1;1454;SOYA PG
11;Troop Ship;116;Surface Activity 2;1458;CASSIOPEIA PG
12;Tanker/Oiler;117;Surface Activity 3;1473;OPV GENERAL (OFFSHORE PATROL VEHICLE)
13;Auxiliary Ship;118;Surface Activity 4;1474;RIVER OPV
14;Mine Warfare Ship;119;Surface Activity 5;1481;PGS GENERAL (PATROL SHIP, ASW)
15;Mine Countermeasures Maritime Vessel (MCMV);120;Surface Activity 6;1492;PGB GENERAL (PATROL SHIP, ICEBREAKER)
16;Hospital Ship;121;Surface Activity 7;1503;PGF GENERAL (PATROL SHIP, FAST)
17;Surfaced Submarine;122;Surface Activity 8;1504;ALBATROS (TYPE 143) PGF
18;Hydrofoil;123;Surface Activity 9;1507;CHONGJU PGF
19;Air Cushion Vehicle;124;Surface Activity 10;1508;GEPARD (TYPE 143A) PGF
20;Intelligence Collector;125;Surface Activity 11;1510;IVAN SUSANIN PGF
21;Survey Vessel;126;Surface Activity 12;1511;KAMAN PGF
22;Non-Military;1;Air Warfare Support;1512;KARTAL PGF
23;Landing Platform;2;Over the Horizon Targeting (OTHT);1513;KOMAR PGF
24;Landing Ship;3;Training;1514;LA COMBATTANTE II PGF
25;Command;4;Logistics Support;1515;LA COMBATTANTE III PGF
26;Ocean Research;5;Antisurface Warfare;1516;LURSSEN FPB-57 PGF
27;Patrol;6;Electronic Warfare (EW);1517;OKHTENSKIY PGF
28;Support;7;Fishery Protection;1518;OSA I PGF
29;Fishing Vessel;8;Search and Rescue (SAR);1519;OSA II PGF
30;Merchant Vessel;9;Escorting;1520;P-4 PGF
31;Patrol Craft Escort;10;Minelaying;1521;PURGA PGF
32;Amphibious General Assault;11;Transiting;1522;SAAR 2 PGF
